Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	311250..312065	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	296043..296858	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	280836..281651	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	265629..266444	Aminoglycoside resistance	X62115
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	250422..251237	Aminoglycoside resistance	X62115
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	255356..256147	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	270563..271354	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	285770..286561	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	300977..301768	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	316184..316975	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	331391..332182	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	346598..347389	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	255356..256147	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	270563..271354	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	285770..286561	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	300977..301768	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	316184..316975	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	331391..332182	Aminoglycoside resistance	JQ414041
aadA1	99.75	792/792	100	1..792	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	346598..347389	Aminoglycoside resistance	JQ414041
aadA1	100	789/789	100	1..789	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	4014315..4015103	Aminoglycoside resistance	JQ480156
aadA1	100	789/789	100	1..789	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	2205638..2206426	Aminoglycoside resistance	JQ480156
aph(6)-Id	100	725/837	86.61887694145759	113..837	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	4018497..4019221	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	253779..254312	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	268986..269519	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	284193..284726	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	299400..299933	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	314607..315140	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	329814..330347	Aminoglycoside resistance	X15852
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091172.1 Acinetobacter baumannii strain MRSN57 chromosome, complete genome	345021..345554	Aminoglycoside resistance	X15852
aph(6)-Id	100	837/837	100	1..837	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	3847513..3848349	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-Ia	99.88	816/816	100	1..816	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	2775966..2776781	Aminoglycoside resistance	X62115
aadA1	99.87	792/792	100	1..792	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	2771991..2772782	Aminoglycoside resistance	JQ414041
armA	100	774/774	100	1..774	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	2766529..2767302	Aminoglycoside resistance	AY220558
armA	100	774/774	100	1..774	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	3875917..3876690	Aminoglycoside resistance	AY220558
aac(6')-Ib3	99.64	555/555	100	1..555	NZ_CP091358.1 Acinetobacter baumannii strain AB181-VUB chromosome, complete genome	2773565..2774119	Warning: gene is missing from Notes file. Please inform curator.	X60321
aph(6)-Id	100	837/837	100	1..837	NZ_CP091364.1 Acinetobacter baumannii strain AB173-VUB chromosome, complete genome	1184548..1185384	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
armA	100	774/774	100	1..774	NZ_CP091364.1 Acinetobacter baumannii strain AB173-VUB chromosome, complete genome	3595507..3596280	Aminoglycoside resistance	AY220558
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091367.1 Acinetobacter baumannii strain AB169-VUB chromosome, complete genome	3215290..3216105	Aminoglycoside resistance	X62115
aadA1	99.75	792/792	100	1..792	NZ_CP091367.1 Acinetobacter baumannii strain AB169-VUB chromosome, complete genome	3220224..3221015	Aminoglycoside resistance	JX185132
aadA1	99.75	792/792	100	1..792	NZ_CP091367.1 Acinetobacter baumannii strain AB169-VUB chromosome, complete genome	3220224..3221015	Aminoglycoside resistance	JQ414041
aac(3)-Ia	99.06	534/534	100	1..534	NZ_CP091367.1 Acinetobacter baumannii strain AB169-VUB chromosome, complete genome	3218647..3219180	Aminoglycoside resistance	X15852
aph(3')-Ia	100	816/816	100	1..816	NZ_CP091596.1 Acinetobacter baumannii strain Nord4-2 chromosome, complete genome	1834737..1835552	Aminoglycoside resistance	X62115
aph(3')-Ia	99.88	816/816	100	1..816	NZ_CP096681.1 Acinetobacter baumannii strain 6080 chromosome, complete genome	2593674..2594489	Aminoglycoside resistance	X62115
aadA1	100	792/792	100	1..792	NZ_CP096681.1 Acinetobacter baumannii strain 6080 chromosome, complete genome	2589699..2590490	Aminoglycoside resistance	JQ414041
armA	100	774/774	100	1..774	NZ_CP096681.1 Acinetobacter baumannii strain 6080 chromosome, complete genome	2584237..2585010	Aminoglycoside resistance	AY220558
aac(6')-Ib3	99.64	555/555	100	1..555	NZ_CP096681.1 Acinetobacter baumannii strain 6080 chromosome, complete genome	2591273..2591827	Warning: gene is missing from Notes file. Please inform curator.	X60321
aadA5	99.62	789/789	100	1..789	NZ_CP104347.1 Acinetobacter baumannii strain 2021CK-01332 chromosome, complete genome	3804823..3805611	Aminoglycoside resistance	AF137361
aph(3')-VIa	98.08	780/780	100	1..780	NZ_CP104347.1 Acinetobacter baumannii strain 2021CK-01332 chromosome, complete genome	384681..385460	Aminoglycoside resistance	X07753
aph(3')-VIa	98.08	780/780	100	1..780	NZ_CP104347.1 Acinetobacter baumannii strain 2021CK-01332 chromosome, complete genome	3144552..3145331	Aminoglycoside resistance	X07753
ant(2'')-Ia	99.81	534/534	100	1..534	NZ_CP104347.1 Acinetobacter baumannii strain 2021CK-01332 chromosome, complete genome	3804232..3804765	Aminoglycoside resistance Alternate name; ant(2'')-Ia	GQ466184
ant(2'')-Ia	99.81	534/534	100	1..534	NZ_CP104347.1 Acinetobacter baumannii strain 2021CK-01332 chromosome, complete genome	3804232..3804765	Aminoglycoside resistance Alternate name; ant(2'')-Ia	DQ176450
aph(6)-Id	100	837/837	100	1..837	NZ_CP121345.1 Acinetobacter baumannii strain 96 chromosome, complete genome	3874016..3874852	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
armA	100	774/774	100	1..774	NZ_CP121345.1 Acinetobacter baumannii strain 96 chromosome, complete genome	1469536..1470309	Aminoglycoside resistance	AY220558
aph(6)-Id	100	837/837	100	1..837	NZ_CP130328.1 Acinetobacter variabilis strain TB2-2B chromosome, complete genome	2712034..2712870	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aph(3')-Ia	100	816/816	100	1..816	NZ_CP140420.1 Acinetobacter baumannii strain 2023CK-00893 chromosome, complete genome	239725..240540	Aminoglycoside resistance	X62115
aac(6')-Ian	100	573/573	100	1..573	NZ_CP140420.1 Acinetobacter baumannii strain 2023CK-00893 chromosome, complete genome	235487..236059	Warning: gene is missing from Notes file. Please inform curator.	AP014611
ant(2'')-Ia	100	534/534	100	1..534	NZ_CP140420.1 Acinetobacter baumannii strain 2023CK-00893 chromosome, complete genome	239141..239674	Aminoglycoside resistance Alternate name; ant(2'')-Ia	X04555
aph(3')-Ia	99.88	816/816	100	1..816	NZ_CP144240.1 Acinetobacter baumannii strain SRM25 chromosome, complete genome	2759813..2760628	Aminoglycoside resistance	X62115
aadA1	100	792/792	100	1..792	NZ_CP144240.1 Acinetobacter baumannii strain SRM25 chromosome, complete genome	2755838..2756629	Aminoglycoside resistance	JQ414041
armA	100	774/774	100	1..774	NZ_CP144240.1 Acinetobacter baumannii strain SRM25 chromosome, complete genome	2750376..2751149	Aminoglycoside resistance	AY220558
aac(6')-Ib3	99.64	555/555	100	1..555	NZ_CP144240.1 Acinetobacter baumannii strain SRM25 chromosome, complete genome	2757412..2757966	Warning: gene is missing from Notes file. Please inform curator.	X60321
blaADC-25	92.19	1152/1152	100	1..1152	NC_016603.1 Acinetobacter pittii PHEA-2 chromosome, complete genome	1995662..1996813	Beta-lactam resistance	EF016355
blaOXA-533	98.05	821/822	99.87834549878345	1..821	NC_016603.1 Acinetobacter pittii PHEA-2 chromosome, complete genome	953501..954321	Warning: gene is missing from Notes file. Please inform curator.	KX668472
blaADC-25	91.76	1153/1152	99.91319444444444	1..1152	NZ_AP021936.1 Acinetobacter pittii strain WP2-W18-ESBL-11 chromosome, complete genome	1201984..1203135	Beta-lactam resistance	EF016355
blaOXA-417	100	822/822	100	1..822	NZ_AP021936.1 Acinetobacter pittii strain WP2-W18-ESBL-11 chromosome, complete genome	2218048..2218869	Warning: gene is missing from Notes file. Please inform curator.	KM220587
blaADC-25	96.1	1153/1152	99.91319444444444	1..1152	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	1609789..1610940	Beta-lactam resistance	EF016355
blaTEM-1B	100	861/861	100	1..861	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	2463128..2463988	Beta-lactam resistance Alternate name; RblaTEM-1	AY458016
blaOXA-65	100	825/825	100	1..825	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	457632..458456	Beta-lactam resistance	AY750908
blaOXA-23	100	822/822	100	1..822	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	3304369..3305190	Beta-lactam resistance	AY795964
blaOXA-23	100	822/822	100	1..822	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	4297011..4297832	Beta-lactam resistance	AY795964
blaADC-25	90.04	1155/1152	99.73958333333334	1..1152	NZ_CP014019.1 Acinetobacter nosocomialis strain FDAARGOS_129 chromosome, complete genome	743129..744280	Beta-lactam resistance	EF016355
blaADC-25	92.11	1153/1152	99.91319444444444	1..1152	NZ_CP014477.1 Acinetobacter pittii strain AP_882 chromosome, complete genome	3808077..3809228	Beta-lactam resistance	EF016355
blaOXA-421	100	822/822	100	1..822	NZ_CP014477.1 Acinetobacter pittii strain AP_882 chromosome, complete genome	2837207..2838028	Warning: gene is missing from Notes file. Please inform curator.	KM401566
blaADC-25	96.53	1152/1152	100	1..1152	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	2971689..2972840	Beta-lactam resistance	EF016355
blaOXA-68	100	825/825	100	1..825	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1894761..1895585	Beta-lactam resistance	AY750910
blaOXA-23	100	822/822	100	1..822	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1065186..1066007	Beta-lactam resistance	AY795964
blaOXA-23	100	822/822	100	1..822	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1072430..1073251	Beta-lactam resistance	AY795964
blaOXA-23	100	822/822	100	1..822	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1079674..1080495	Beta-lactam resistance	AY795964
blaOXA-23	100	822/822	100	1..822	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1094159..1094980	Beta-lactam resistance	AY795964
blaOXA-23	99.88	822/822	99.87834549878345	1..822	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	1086916..1087736	Beta-lactam resistance	AY795964
blaADC-25	93.67	1153/1152	99.91319444444444	1..1152	NZ_CP017938.1 Acinetobacter pittii strain YMC2010/8/T346 chromosome, complete genome	3653669..3654820	Beta-lactam resistance	EF016355
blaOXA-499	100	828/828	100	1..828	NZ_CP017938.1 Acinetobacter pittii strain YMC2010/8/T346 chromosome, complete genome	1484979..1485806	Warning: gene is missing from Notes file. Please inform curator.	KT964029
blaOXA-506	100	822/822	100	1..822	NZ_CP017938.1 Acinetobacter pittii strain YMC2010/8/T346 chromosome, complete genome	2668852..2669673	Warning: gene is missing from Notes file. Please inform curator.	KU571454
blaADC-25	96.18	1153/1152	99.91319444444444	1..1152	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	1229394..1230545	Beta-lactam resistance	EF016355
blaTEM-1B	100	861/861	100	1..861	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	306256..307116	Beta-lactam resistance Alternate name; RblaTEM-1	AY458016
blaOXA-235	100	831/831	100	1..831	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	321279..322109	Beta-lactam resistance	JQ820240
blaOXA-65	100	825/825	100	1..825	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	2474433..2475257	Beta-lactam resistance	AY750908
blaOXA-301	99.28	831/831	100	1..831	NZ_CP018259.1 Acinetobacter bereziniae strain XH901 chromosome, complete genome	229381..230211	Beta-lactam resistance	APQG01000050
blaOXA-264	99.4	828/828	100	1..828	NZ_CP018260.1 Acinetobacter haemolyticus strain XH900 chromosome, complete genome	179289..180116	Beta-lactam resistance	APQQ01000012
blaADC-25	92.89	1153/1152	99.91319444444444	1..1152	NZ_CP018909.1 Acinetobacter pittii strain XJ88 chromosome, complete genome	217889..219040	Beta-lactam resistance	EF016355
blaOXA-502	99.27	822/822	100	1..822	NZ_CP018909.1 Acinetobacter pittii strain XJ88 chromosome, complete genome	1284997..1285818	Warning: gene is missing from Notes file. Please inform curator.	KU167111
blaOXA-283	99.64	831/831	100	1..831	NZ_CP019143.2 Acinetobacter lwoffii strain ZS207 chromosome, complete genome	16554..17384	Beta-lactam resistance	AYHO01000005
blaOXA-323	97.81	822/822	100	1..822	NZ_CP020000.1 Acinetobacter calcoaceticus strain CA16 chromosome, complete genome	1708229..1709050	Beta-lactam resistance	KF203097
blaADC-25	91.93	1153/1152	99.91319444444444	1..1152	NZ_CP021428.1 Acinetobacter pittii strain HUMV-6483 chromosome, complete genome	146292..147443	Beta-lactam resistance	EF016355
blaOXA-506	100	822/822	100	1..822	NZ_CP021428.1 Acinetobacter pittii strain HUMV-6483 chromosome, complete genome	3053767..3054588	Warning: gene is missing from Notes file. Please inform curator.	KU571454
blaADC-25	96.53	1153/1152	99.91319444444444	1..1152	NZ_CP022283.1 Acinetobacter baumannii strain 7804 chromosome, complete genome	1460213..1461364	Beta-lactam resistance	EF016355
blaOXA-64	100	825/825	100	1..825	NZ_CP022283.1 Acinetobacter baumannii strain 7804 chromosome, complete genome	2665499..2666323	Beta-lactam resistance	AY750907
blaADC-25	96.1	1153/1152	99.91319444444444	1..1152	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	1585760..1586911	Beta-lactam resistance	EF016355
blaTEM-1B	100	861/861	100	1..861	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2839774..2840634	Beta-lactam resistance Alternate name; RblaTEM-1	AY458016
blaOXA-2	100	828/828	100	1..828	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2842526..2843353	Beta-lactam resistance	DQ112222
blaOXA-65	100	825/825	100	1..825	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	1032733..1033557	Beta-lactam resistance	AY750908
blaOXA-500	99.88	822/822	100	1..822	NZ_CP027658.1 Acinetobacter pittii strain Ap-W20 chromosome, complete genome	2967305..2968126	Warning: gene is missing from Notes file. Please inform curator.	JMNQ01000002
blaOXA-500	99.88	822/822	100	1..822	NZ_CP029005.1 Acinetobacter pittii strain AbW39 chromosome, complete genome	2150161..2150982	Warning: gene is missing from Notes file. Please inform curator.	JMNQ01000002
blaADC-25	90.04	1155/1152	99.73958333333334	1..1152	NZ_CP029351.1 Acinetobacter nosocomialis strain NCTC 8102 chromosome, complete genome	1135975..1137126	Beta-lactam resistance	EF016355
blaADC-25	92.1	1152/1152	100	1..1152	NZ_CP029610.1 Acinetobacter pittii strain ST220 chromosome, complete genome	1247016..1248167	Beta-lactam resistance	EF016355
blaNDM-1	100	813/813	100	1..813	NZ_CP029610.1 Acinetobacter pittii strain ST220 chromosome, complete genome	763779..764591	Beta-lactam resistance	FN396876
blaOXA-526	98.54	822/822	100	1..822	NZ_CP029610.1 Acinetobacter pittii strain ST220 chromosome, complete genome	2301858..2302679	Warning: gene is missing from Notes file. Please inform curator.	KX599409
blaOXA-102	99.64	822/822	100	1..822	NZ_CP030031.1 Acinetobacter radioresistens strain LH6 chromosome, complete genome	1054211..1055032	Beta-lactam resistance	NZ_LWGP01000001
blaOXA-264	99.52	828/828	100	1..828	NZ_CP030880.1 Acinetobacter haemolyticus strain HW-2A chromosome, complete genome	177879..178706	Beta-lactam resistance	APQQ01000012
blaOXA-215	99.52	828/828	100	1..828	NZ_CP030880.1 Acinetobacter haemolyticus strain HW-2A chromosome, complete genome	177879..178706	Beta-lactam resistance	JN861783
blaNDM-1	100	813/813	100	1..813	NZ_CP031716.1 Acinetobacter wuhouensis strain WCHA60 chromosome, complete genome	2091118..2091930	Beta-lactam resistance	FN396876
blaOXA-265	98.07	828/828	100	1..828	NZ_CP031984.1 Acinetobacter haemolyticus strain AN3 chromosome, complete genome	198823..199650	Beta-lactam resistance	APQR01000003
blaOXA-265	100	828/828	100	1..828	NZ_CP031988.1 Acinetobacter haemolyticus strain 5227 chromosome, complete genome	199596..200423	Beta-lactam resistance	APQR01000003
blaOXA-214	100	828/828	100	1..828	NZ_CP031991.1 Acinetobacter haemolyticus strain 2126ch chromosome, complete genome	198988..199815	Beta-lactam resistance	JN861782
blaNDM-1	100	813/813	100	1..813	NZ_CP033133.1 Acinetobacter wuhouensis strain WCHAW010062 chromosome, complete genome	3793019..3793831	Beta-lactam resistance	FN396876
blaADC-25	95.44	1162/1152	99.91319444444444	1..1152	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1177176..1178336	Beta-lactam resistance	EF016355
blaTEM-1A	100	861/861	100	1..861	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1650847..1651707	Beta-lactam resistance Alternate name; RblaTEM-1	HM749966
blaTEM-1A	100	861/861	100	1..861	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1905714..1906574	Beta-lactam resistance Alternate name; RblaTEM-1	HM749966
blaTEM-1A	100	861/861	100	1..861	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	94180..95040	Beta-lactam resistance Alternate name; RblaTEM-1	HM749966
blaOXA-65	100	825/825	100	1..825	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	2491207..2492031	Beta-lactam resistance	AY750908
blaOXA-23	100	822/822	100	1..822	NZ_CP033869.1 Acinetobacter baumannii strain MRSN15313 chromosome, complete genome	1785238..1786059	Beta-lactam resistance	AY795964
blaOXA-500	99.88	822/822	100	1..822	NZ_CP035109.1 Acinetobacter pittii strain NQ-003 chromosome, complete genome	2680380..2681201	Warning: gene is missing from Notes file. Please inform curator.	JMNQ01000002
blaOXA-102	100	822/822	100	1..822	NZ_CP038022.1 Acinetobacter radioresistens strain DD78 chromosome, complete genome	1120819..1121640	Beta-lactam resistance	NZ_LWGP01000001
blaADC-25	90.04	1155/1152	99.73958333333334	1..1152	NZ_CP040105.1 Acinetobacter nosocomialis M2 chromosome, complete genome	3155262..3156413	Beta-lactam resistance	EF016355
blaADC-25	96.62	1153/1152	99.91319444444444	1..1152	NZ_CP040259.1 Acinetobacter baumannii strain P7774 chromosome, complete genome	4084078..4085229	Beta-lactam resistance	EF016355
blaOXA-64	100	825/825	100	1..825	NZ_CP040259.1 Acinetobacter baumannii strain P7774 chromosome, complete genome	2885530..2886354	Beta-lactam resistance	AY750907
blaOXA-23	100	822/822	100	1..822	NZ_CP040259.1 Acinetobacter baumannii strain P7774 chromosome, complete genome	1586119..1586940	Beta-lactam resistance	AY795964
blaOXA-23	99.64	825/822	100	1..822	NZ_CP040259.1 Acinetobacter baumannii strain P7774 chromosome, complete genome	1355499..1356323	Beta-lactam resistance	AY795964
blaADC-25	92.11	1153/1152	99.91319444444444	1..1152	NZ_CP040903.1 Acinetobacter pittii strain AP007 chromosome	1911766..1912917	Beta-lactam resistance	EF016355
blaOXA-501	98.17	821/822	99.87834549878345	1..821	NZ_CP040903.1 Acinetobacter pittii strain AP007 chromosome	884797..885617	Warning: gene is missing from Notes file. Please inform curator.	KU167110
blaOXA-500	98.17	821/822	99.87834549878345	1..821	NZ_CP040903.1 Acinetobacter pittii strain AP007 chromosome	884797..885617	Warning: gene is missing from Notes file. Please inform curator.	JMNQ01000002
blaADC-25	95.92	1153/1152	99.91319444444444	1..1152	NZ_CP041035.1 Acinetobacter baumannii strain 11W359501 chromosome, complete genome	1271941..1273092	Beta-lactam resistance	EF016355
blaOXA-69	100	825/825	100	1..825	NZ_CP041035.1 Acinetobacter baumannii strain 11W359501 chromosome, complete genome	2338682..2339506	Beta-lactam resistance	AY859527
blaOXA-291	98.09	837/837	100	1..837	NZ_CP041970.1 Acinetobacter dispersus strain NCCP 16014 chromosome, complete genome	3281280..3282116	Beta-lactam resistance	APRL01000010
blaADC-25	96.7	1153/1152	99.91319444444444	1..1152	NZ_CP043953.1 Acinetobacter baumannii strain K09-14 chromosome, complete genome	1220309..1221460	Beta-lactam resistance	EF016355
blaOXA-203	99.88	825/825	100	1..825	NZ_CP043953.1 Acinetobacter baumannii strain K09-14 chromosome, complete genome	2227873..2228697	Beta-lactam resistance	HQ998857
blaOXA-282	93.86	831/831	100	1..831	NZ_CP044463.1 Acinetobacter schindleri strain HZE23-1 chromosome, complete genome	16681..17511	Beta-lactam resistance	APQS01000019
blaOXA-360	93.74	831/831	100	1..831	NZ_CP044474.1 Acinetobacter schindleri strain HZE33-1 chromosome, complete genome	1556963..1557793	Beta-lactam resistance	KF421163
blaOXA-283	93.23	827/831	99.51865222623346	1..827	NZ_CP044483.1 Acinetobacter schindleri strain HZE30-1 chromosome, complete genome	16686..17512	Beta-lactam resistance	AYHO01000005
blaOXA-282	93.23	827/831	99.51865222623346	1..827	NZ_CP044483.1 Acinetobacter schindleri strain HZE30-1 chromosome, complete genome	16686..17512	Beta-lactam resistance	APQS01000019
blaADC-25	97.14	1152/1152	100	1..1152	NZ_CP045110.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	2872625..2873776	Beta-lactam resistance	EF016355
blaOXA-98	99.88	825/825	100	1..825	NZ_CP045110.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	1887843..1888667	Beta-lactam resistance	EU255288
blaADC-25	99.91	1152/1152	100	1..1152	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	3594117..3595268	Beta-lactam resistance	EF016355
blaOXA-66	100	825/825	100	1..825	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	173991..174815	Beta-lactam resistance	AY750909
blaOXA-23	100	822/822	100	1..822	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	2790348..2791169	Beta-lactam resistance	AY795964
blaOXA-23	99.88	822/822	99.87834549878345	1..822	NZ_CP045528.1 Acinetobacter baumannii strain 6507 chromosome, complete genome	2545348..2546168	Beta-lactam resistance	AY795964
blaADC-25	96.53	1152/1152	100	1..1152	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2989369..2990520	Beta-lactam resistance	EF016355
blaPER-1	100	927/927	100	1..927	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2361712..2362638	Beta-lactam resistance	GU944725
blaCARB-2	100	867/867	100	1..867	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	2369601..2370467	Beta-lactam resistance Alternate name; PSE-1, blaP1b	M69058
blaOXA-68	100	825/825	100	1..825	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	1855772..1856596	Beta-lactam resistance	AY750910
blaOXA-23	100	822/822	100	1..822	NZ_CP045645.1 Acinetobacter baumannii strain XH1056 chromosome, complete genome	1054074..1054895	Beta-lactam resistance	AY795964
blaCARB-2	100	867/867	100	1..867	NZ_CP046045.1 Acinetobacter towneri strain 19110F47 chromosome, complete genome	166857..167723	Beta-lactam resistance Alternate name; PSE-1, blaP1b	M69058
blaADC-25	97.14	1152/1152	100	1..1152	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	194052..195203	Beta-lactam resistance	EF016355
blaOXA-98	99.88	825/825	100	1..825	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	3190153..3190977	Beta-lactam resistance	EU255288
blaADC-25	96.62	1153/1152	99.91319444444444	1..1152	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	3013015..3014166	Beta-lactam resistance	EF016355
blaPER-1	99.89	927/927	100	1..927	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	57415..58341	Beta-lactam resistance	GU944725
blaOXA-64	100	825/825	100	1..825	NZ_CP048849.1 Acinetobacter baumannii strain D4 chromosome, complete genome	1838019..1838843	Beta-lactam resistance	AY750907
